adenin;adenin.sdf
amylopektin;amylopektin.mol
amylóza;amylosa.pdb
ATP;ATP.sdf
cytosin;cytosin.sdf
fruktóza;fruktoza.sdf
glukóza;glukoza.sdf
guanin;guanin.sdf
cholesterol;cholesterol.sdf
isopren;izopren.sdf
kofein;kofein.sdf
menthol;menthol.sdf
morfium;morfium.sdf
nikotin;nikotin.sdf
olej;olej.sdf
sacharóza;sacharosa.sdf
testosteron;testosteron.sdf
thymin;thymin.sdf
tuk;tuk.cgi
uracil;uracil.sdf
vitamín A;vitaminA.sdf
vitamín B1;vitaminB1.sdf
vitamín C;vitaminC.sdf
vitamín D;vitaminD.sdf
